scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_miroc6_ssp585_2cal_03442,FL_miroc6_ssp585_2cal_01389,FL_miroc6_ssp585_2cal_00411,FL_miroc6_ssp585_2cal_00926","{""FL_miroc6_ssp585_2cal_03442"": 0.801681204179031, ""FL_miroc6_ssp585_2cal_01389"": 0.7342478771443514, ""FL_miroc6_ssp585_2cal_00411"": 0.7670600320252788, ""FL_miroc6_ssp585_2cal_00926"": 0.8223534062698715}",67018840371.65994,51535687070.07128,15483153301.588657,8868855846.181078,15759898777.449768,0.0,24428633057.325794,2478299389.114646,8868855846.181078,15759898777.449768,1672040224.905153,13811113076.683502,36.45039651813471,3.6979144601293896,13.23337705785107,23.515624397634475,2.4948808657874118,20.607806700462945,24428633057.325794,2478299389.114646,1672040224.905153,24,16,8,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co;Auto Club Insurance Co. of FL;FL Farm Bureau General Ins Co.;Homesite Insurance Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.;First Liberty Insurance Corp.,Universal P&C Insurance Co.;Florida Family Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Florida Peninsula Insurance Co;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;Universal North America Ins Co,1376875541.2129564,8,34.296269979690315,909379071.7853634,0.0,0,1.0,2896992623.6565022,321099960.0,1437757273.5439916,539937478.65,359958319.1,539937478.65,359958319.1,0.0,1672040224.905153,1672040224.905153,1395853723.0,1395853723.0,0.0,False,7700270117.892372,7700270117.892372,0.0,1.0,7700270117.892372,0.0,2106853534.1407948,0.0,13,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_miroc6_ssp585_2cal_02249,FL_miroc6_ssp585_2cal_03483,FL_miroc6_ssp585_2cal_01973,FL_miroc6_ssp585_2cal_03224","{""FL_miroc6_ssp585_2cal_02249"": 0.8315043287236806, ""FL_miroc6_ssp585_2cal_03483"": 0.8584483702458438, ""FL_miroc6_ssp585_2cal_01973"": 0.8123962527051113, ""FL_miroc6_ssp585_2cal_03224"": 0.9205316590107878}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_miroc6_ssp585_2cal_01103,FL_miroc6_ssp585_2cal_03814","{""FL_miroc6_ssp585_2cal_01103"": 0.6733834193140124, ""FL_miroc6_ssp585_2cal_03814"": 0.7420328740995595}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_miroc6_ssp585_2cal_01320,FL_miroc6_ssp585_2cal_01727","{""FL_miroc6_ssp585_2cal_01320"": 0.8949373427597096, ""FL_miroc6_ssp585_2cal_01727"": 0.7762718254205047}",425634845.5058408,330408661.6379815,95226183.86785933,24595059.68688084,140800581.6937387,0.0,154212548.963126,10800471.294235954,24595059.68688084,140800581.6937387,6616406.458719937,88609777.4091394,36.23118515587085,2.5374969667721308,5.778441296941074,33.08013504542982,1.554479509509318,20.818262025476823,154212548.963126,10800471.294235954,6616406.458719937,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,6616406.458719937,6616406.458719937,1395853723.0,6616406.458719937,0.0,False,2983.8287108333893,2983.8287108333893,0.0,1.0,2983.8287108333893,0.0,230065101.28680974,0.0,6,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_miroc6_ssp585_2cal_00612,FL_miroc6_ssp585_2cal_00697,FL_miroc6_ssp585_2cal_03164","{""FL_miroc6_ssp585_2cal_00612"": 0.8680900425306904, ""FL_miroc6_ssp585_2cal_00697"": 0.8592328984107334, ""FL_miroc6_ssp585_2cal_03164"": 0.9384055547300932}",66468726029.32199,62155636001.07637,4313090028.245625,17642447107.05803,28969060610.00587,0.0,13306338221.270802,2237790062.7416725,17642447107.05803,28969060610.00587,803878192.6458917,3509211835.599733,20.018945775191852,3.3666811392691574,26.542478186320658,43.58299359796135,1.2094081542818635,5.279493146975136,13306338221.270802,2237790062.7416725,803878192.6458917,18,13,5,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;State Farm FL Ins Co;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;Heritage P&C Insurance Co.;Florida Family Home Ins Co.;US Coastal P&C Insurance Co.;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,597638808.9299476,5,30.467154307056973,683836595.9768369,0.0,0,1.0,1758144770.330172,363386040.0,1180392003.5688906,539937478.65,359958319.1,539937478.65,359958319.1,0.0,803878192.6458917,803878192.6458917,1395853723.0,803878192.6458917,0.0,False,57422592.58798819,57422592.58798819,0.0,1.0,57422592.58798819,0.0,2015088809.3505847,0.0,13,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_miroc6_ssp585_2cal_03257,FL_miroc6_ssp585_2cal_00843","{""FL_miroc6_ssp585_2cal_03257"": 0.7852089226003471, ""FL_miroc6_ssp585_2cal_00843"": 0.9325753297213729}",894004126.412861,833726192.9617418,60277933.45111918,79007240.65006676,397219830.4496745,0.0,312765705.266947,44733416.59505355,79007240.65006676,397219830.4496745,5890535.94720706,54387397.50391212,34.98481673925835,5.00371477864915,8.837458163317285,44.43154329091251,0.6588935971517815,6.083573430710925,312765705.266947,44733416.59505355,5890535.94720706,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,5890535.94720706,5890535.94720706,1395853723.0,5890535.94720706,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,715000000.0000001,0.0,6,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_miroc6_ssp585_2cal_03628,FL_miroc6_ssp585_2cal_01741,FL_miroc6_ssp585_2cal_03845","{""FL_miroc6_ssp585_2cal_03628"": 0.9570459523189867, ""FL_miroc6_ssp585_2cal_01741"": 0.8184852289986012, ""FL_miroc6_ssp585_2cal_03845"": 0.9053481046849694}",12689279171.090317,12114937809.341736,574341361.7485816,1581258352.699061,5061444790.304198,0.0,4686724609.11502,785510057.2234575,1581258352.699061,5061444790.304198,72599652.93259475,501741708.815987,36.93452201597608,6.190344200268416,12.46137256008682,39.88756746589331,0.5721337828077485,3.9540599749676346,4686724609.11502,785510057.2234575,72599652.93259475,4,1,3,First Protective Insurance Co.;FL Farm Bureau General Ins Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,First Protective Insurance Co.,69853086.95624769,3,4.237368573953127,13655164.989328057,0.0,0,1.0,0.0,13655164.989328057,0.0,539937478.65,89087021.47967112,539937478.65,359958319.1,0.0,72599652.93259475,72599652.93259475,1395853723.0,72599652.93259475,0.0,False,765105.3462162192,765105.3462162192,0.0,1.0,765105.3462162192,0.0,1205062388.2638693,0.0,10,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_miroc6_ssp585_2cal_01520,FL_miroc6_ssp585_2cal_01202","{""FL_miroc6_ssp585_2cal_01520"": 0.9580942990760638, ""FL_miroc6_ssp585_2cal_01202"": 0.7907436554716536}",28277785009.1786,22360479086.79941,5917305922.379188,6777299041.190585,6560458378.102584,0.0,8026241259.017023,996480408.4892193,6777299041.190585,6560458378.102584,648513449.7607342,5268792472.618453,28.38355711528258,3.523898382301778,23.966866708233205,23.200043341347794,2.2933672122842546,18.632267240550387,8026241259.017023,996480408.4892193,648513449.7607342,14,10,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Cypress P&C Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;US Coastal P&C Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;Safe Harbor Insurance Co.;GeoVera Specialty Insurance Co,164365457.19591916,4,26.28012393901976,197467448.14565188,0.0,0,1.0,156431171.9410889,409624680.0,0.0,539937478.65,327763493.1915598,539937478.65,359958319.1,0.0,648513449.7607342,648513449.7607342,1395853723.0,648513449.7607342,0.0,False,588427547.8247668,588427547.8247668,0.0,1.0,588427547.8247668,0.0,1526101493.8109636,0.0,11,9464500000.0,9464500000.0,8
year_9,baseline,,"FL_miroc6_ssp585_2cal_01765,FL_miroc6_ssp585_2cal_00126","{""FL_miroc6_ssp585_2cal_01765"": 0.9272035855835594, ""FL_miroc6_ssp585_2cal_00126"": 0.9419863999772443}",8756283336.509613,8160582512.4633,595700824.0463132,1774804986.5732768,3585821445.6433377,0.0,2461503264.9099407,338452815.33674455,1774804986.5732768,3585821445.6433377,82986874.18380775,512713949.86250556,28.1112792986794,3.865256551550295,20.268930530984175,40.951409494621274,0.9477408507076424,5.855383273457218,2461503264.9099407,338452815.33674455,82986874.18380775,1,0,1,Castle Key Indemnity Co.,,13160570.506392736,1,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,206675681.81621116,0.0,539937478.65,359958319.1,0.0,82986874.18380775,82986874.18380775,1395853723.0,82986874.18380775,0.0,False,429646.0222852424,429646.0222852424,0.0,1.0,429646.0222852424,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_miroc6_ssp585_2cal_03420,FL_miroc6_ssp585_2cal_03741,FL_miroc6_ssp585_2cal_01388","{""FL_miroc6_ssp585_2cal_03420"": 0.6397976976019587, ""FL_miroc6_ssp585_2cal_03741"": 0.912818918980074, ""FL_miroc6_ssp585_2cal_01388"": 0.9822579283693215}",149754499.54780746,95813480.5442686,53941019.00353887,13825131.058560107,37899905.16828258,0.0,40120838.42192324,3967605.8955026735,13825131.058560107,37899905.16828258,5421216.709988065,48519802.2935508,26.79107375275566,2.6494068007860156,9.231863550214454,25.308024321622106,3.6200693310436405,32.399562243578124,40120838.42192324,3967605.8955026735,5421216.709988065,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3967605.8955026735,0.0,539937478.65,359958319.1,0.0,5421216.709988065,5421216.709988065,1395853723.0,5421216.709988065,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
