scenario,policy_scenario,policy_severity,events,wind_shares,total_damage_usd,wind_total_usd,water_total_usd,underinsured_wind_usd,uninsured_wind_usd,nfip_policyholder_shortfall_usd,wind_insured_private_usd,wind_insured_citizens_usd,wind_underinsured_usd,wind_uninsured_usd,flood_insured_capped_usd,flood_un_derinsured_usd,wind_insured_private_pct,wind_insured_citizens_pct,wind_underinsured_pct,wind_uninsured_pct,flood_insured_capped_pct,flood_un_derinsured_pct,insured_private_wind_pre_usd,insured_citizens_wind_pre_usd,insured_flood_pre_usd,defaults_pre,defaults_post,rescued_defaults,default_companies_pre,default_companies_post,group_contrib_total_usd,group_supported_companies,defaulted_premium_base_pct,largest_entity_deficit_usd,diag_group_shortfall_total_usd,diag_groups_with_shortfall,diag_groups_fully_funded_share,figa_residual_deficit_usd,figa_collected_usd,citizens_residual_deficit_usd,citizens_tier1_usd,citizens_tier2_usd,citizens_tier1_capacity_usd,citizens_tier2_capacity_usd,nfip_borrowed_usd,nfip_claims_paid_usd,nfip_pool_used_usd,nfip_fl_premium_base_usd,nfip_fl_premium_depletion_usd,underinsured_flood_usd,fhcf_cap_binding,fhcf_total_precap_usd,fhcf_total_postcap_usd,fhcf_shortfall_usd,fhcf_scaling_factor,fhcf_recovery_private_usd,fhcf_recovery_citizens_usd,catbond_payout_usd,catbond_unfilled_usd,catbond_triggers,catbond_limit_in_force_usd,catbond_issue_volume_year_usd,year_id
year_1,baseline,,"FL_miroc6_ssp585cal_01389,FL_miroc6_ssp585cal_03443,FL_miroc6_ssp585cal_00926","{""FL_miroc6_ssp585cal_01389"": 0.801681204179031, ""FL_miroc6_ssp585cal_03443"": 0.7342478771443514, ""FL_miroc6_ssp585cal_00926"": 0.7670600320252788}",17726179.96572514,13580334.765625764,4145845.2000993732,3618996.881087733,5710355.784881086,0.0,4021542.340148747,229439.75950819804,3618996.881087733,5710355.784881086,702915.2319526671,3442929.9681467065,22.687021952415538,1.294355354350664,20.416112710608417,32.214249183537994,3.9654072863516276,19.422853512735752,4021542.340148747,229439.75950819804,702915.2319526671,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,229439.75950819804,0.0,539937478.65,359958319.1,0.0,702915.2319526671,702915.2319526671,1395853723.0,702915.2319526671,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,1
year_2,baseline,,"FL_miroc6_ssp585cal_01207,FL_miroc6_ssp585cal_02412","{""FL_miroc6_ssp585cal_01207"": 0.9602696181485115, ""FL_miroc6_ssp585cal_02412"": 0.8315043287236806}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,2
year_3,baseline,,"FL_miroc6_ssp585cal_02249,FL_miroc6_ssp585cal_01973","{""FL_miroc6_ssp585cal_02249"": 0.8584483702458438, ""FL_miroc6_ssp585cal_01973"": 0.8123962527051113}",703797990.3812035,586485959.5357934,117312030.84541006,125783881.60556315,175559422.0510469,0.0,253227579.85065007,31915076.028533313,125783881.60556315,175559422.0510469,16611077.972729836,100700952.87268023,35.98015102508214,4.534692690902244,17.872156971837025,24.94457563823922,2.3602053713925284,14.308218302546843,253227579.85065007,31915076.028533313,16611077.972729836,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,16611077.972729836,16611077.972729836,1395853723.0,16611077.972729836,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,685285311.7583668,0.0,6,9464500000.0,9464500000.0,3
year_4,baseline,,"FL_miroc6_ssp585cal_01250,FL_miroc6_ssp585cal_03605,FL_miroc6_ssp585cal_00685","{""FL_miroc6_ssp585cal_01250"": 0.9562507528392832, ""FL_miroc6_ssp585cal_03605"": 0.902164305457654, ""FL_miroc6_ssp585cal_00685"": 0.7296842168898009}",309408603.99671483,279137398.32731855,30271205.669396307,23418714.842996273,159381179.22460628,0.0,92236644.52848226,4100859.731233776,23418714.842996273,159381179.22460628,1473495.0304964613,28797710.638899844,29.810626898229884,1.3253864560525659,7.568863483591078,51.51155370789189,0.4762294944170674,9.307339959817538,92236644.52848226,4100859.731233776,1473495.0304964613,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2284285.539155852,0.0,539937478.65,359958319.1,0.0,1473495.0304964613,1473495.0304964613,1395853723.0,1473495.0304964613,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,42675008.51943206,0.0,2,9464500000.0,9464500000.0,4
year_5,baseline,,"FL_miroc6_ssp585cal_02582,FL_miroc6_ssp585cal_01320,FL_miroc6_ssp585cal_01727","{""FL_miroc6_ssp585cal_02582"": 0.8949373427597096, ""FL_miroc6_ssp585cal_01320"": 0.7762718254205047, ""FL_miroc6_ssp585cal_01727"": 0.8680900425306904}",166293300.38743317,144357558.20589578,21935742.181537382,31011855.081491884,42181306.50228309,0.0,67525183.80184022,3639212.8202805514,31011855.081491884,42181306.50228309,733469.5140262705,21202272.66751111,40.60607591798275,2.1884302084340423,18.648890249480825,25.365607877171424,0.44106979193835216,12.749925954992575,67525183.80184022,3639212.8202805514,733469.5140262705,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,3068286.6655397206,0.0,539937478.65,359958319.1,0.0,733469.5140262705,733469.5140262705,1395853723.0,733469.5140262705,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,11164396.622120766,0.0,1,9464500000.0,9464500000.0,5
year_6,baseline,,"FL_miroc6_ssp585cal_00611,FL_miroc6_ssp585cal_01218,FL_miroc6_ssp585cal_00697","{""FL_miroc6_ssp585cal_00611"": 0.919791757648447, ""FL_miroc6_ssp585cal_01218"": 0.8344893982215632, ""FL_miroc6_ssp585cal_00697"": 0.7852089226003471}",3445845081.694953,2875521188.5883546,570323893.1065984,266310457.15412617,1778645092.7999218,0.0,677253908.6293805,153311730.00492564,266310457.15412617,1778645092.7999218,104142241.23984376,466181651.86675453,19.65421812568111,4.449176511716951,7.7284512460766965,51.61709393868155,3.0222554633424767,13.5288047145012,677253908.6293805,153311730.00492564,104142241.23984376,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,104142241.23984376,104142241.23984376,1395853723.0,104142241.23984376,0.0,False,149568.8955330937,149568.8955330937,0.0,1.0,149568.8955330937,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,6
year_7,baseline,,"FL_miroc6_ssp585cal_00842,FL_miroc6_ssp585cal_03144","{""FL_miroc6_ssp585cal_00842"": 0.9325753297213729, ""FL_miroc6_ssp585cal_03144"": 0.9570459523189867}",35848298.61812837,34308469.09000208,1539829.5281262873,7976197.507970139,12984281.11861253,0.0,12351352.628845725,996637.834573691,7976197.507970139,12984281.11861253,154120.1817157524,1385709.3464105348,34.45450162200916,2.7801537952757807,22.24986349543686,36.22007631917689,0.4299232813180549,3.8654814867832696,12351352.628845725,996637.834573691,154120.1817157524,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,996637.834573691,0.0,539937478.65,359958319.1,0.0,154120.1817157524,154120.1817157524,1395853723.0,154120.1817157524,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,7
year_8,baseline,,"FL_miroc6_ssp585cal_01741,FL_miroc6_ssp585cal_03845","{""FL_miroc6_ssp585cal_01741"": 0.9147775145108845, ""FL_miroc6_ssp585cal_03845"": 0.8493694612736804}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,8
year_9,baseline,,FL_miroc6_ssp585cal_03188,"{""FL_miroc6_ssp585cal_03188"": 0.9580942990760638}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,9
year_10,baseline,,"FL_miroc6_ssp585cal_03457,FL_miroc6_ssp585cal_01520,FL_miroc6_ssp585cal_01202","{""FL_miroc6_ssp585cal_03457"": 0.822072353603383, ""FL_miroc6_ssp585cal_01520"": 0.875010318745362, ""FL_miroc6_ssp585cal_01202"": 0.9192649074923438}",107773156.14550674,89120280.40610866,18652875.73939808,18141429.102896065,30126019.357528903,0.0,38180345.37776641,2672486.567917298,18141429.102896065,30126019.357528903,3552952.5623181285,15099923.177079951,35.4265818532941,2.4797330462412357,16.832975623728558,27.95317538706498,3.296695289800379,14.010838799870756,38180345.37776641,2672486.567917298,3552952.5623181285,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2672486.567917298,0.0,539937478.65,359958319.1,0.0,3552952.5623181285,3552952.5623181285,1395853723.0,3552952.5623181285,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,10
year_11,baseline,,"FL_miroc6_ssp585cal_01388,FL_miroc6_ssp585cal_02867,FL_miroc6_ssp585cal_03742","{""FL_miroc6_ssp585cal_01388"": 0.6397976976019587, ""FL_miroc6_ssp585cal_02867"": 0.912818918980074, ""FL_miroc6_ssp585cal_03742"": 0.9822579283693215}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,11
year_12,baseline,,"FL_miroc6_ssp585cal_03604,FL_miroc6_ssp585cal_03798","{""FL_miroc6_ssp585cal_03604"": 0.8356649915710548, ""FL_miroc6_ssp585cal_03798"": 0.689854346868228}",17299081.073566947,14456236.439529316,2842844.6340376292,2101721.648756251,6438910.907159581,0.0,5507575.78671828,408028.096895203,2101721.648756251,6438910.907159581,159248.07162616678,2683596.5624114615,31.837389300024,2.358669198438935,12.149325387969242,37.221115270673295,0.9205579819467888,15.512942860947717,5507575.78671828,408028.096895203,159248.07162616678,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,408028.096895203,0.0,539937478.65,359958319.1,0.0,159248.07162616678,159248.07162616678,1395853723.0,159248.07162616678,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,12
year_13,baseline,,"FL_miroc6_ssp585cal_01101,FL_miroc6_ssp585cal_02679","{""FL_miroc6_ssp585cal_01101"": 0.7910092552022683, ""FL_miroc6_ssp585cal_02679"": 0.7473393440100722}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,13
year_14,baseline,,FL_miroc6_ssp585cal_03262,"{""FL_miroc6_ssp585cal_03262"": 0.9602982790181169}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,0.0,0.0,1395853723.0,0.0,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,14
year_15,baseline,,"FL_miroc6_ssp585cal_02830,FL_miroc6_ssp585cal_01723","{""FL_miroc6_ssp585cal_02830"": 0.9494815114963172, ""FL_miroc6_ssp585cal_01723"": 0.9629938486745883}",20818212559.590107,19766507927.731236,1051704631.8588729,3337658587.7753696,7053770245.546453,0.0,8632248417.455446,742830676.9539646,3337658587.7753696,7053770245.546453,109193947.32409501,942510684.534778,41.46488750053096,3.5681770220554916,16.032397489561827,33.88268913748346,0.5245116362009369,4.5273372141673205,8632248417.455446,742830676.9539646,109193947.32409501,12,8,4,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;GeoVera Specialty Insurance Co;FL Farm Bureau General Ins Co.;AIG Property Casualty Co.;ASI Preferred Insurance Corp.;Castle Key Indemnity Co.,Universal P&C Insurance Co.;First Protective Insurance Co.;Tower Hill Insurance Exchange;Kin Interinsurance Network;TypTap Insurance Co.;Homeowners Choice P&C Ins Co.;Edison Insurance Co.;GeoVera Specialty Insurance Co,115865260.0960895,4,26.248454062896297,221882375.6446575,0.0,0,1.0,170118638.2672646,409974420.0,0.0,539937478.65,98121182.98620331,539937478.65,359958319.1,0.0,109193947.32409501,109193947.32409501,1395853723.0,109193947.32409501,0.0,False,1647009385.8699777,1647009385.8699777,0.0,1.0,1647009385.8699777,0.0,1491199155.2730622,0.0,10,9464500000.0,9464500000.0,15
year_16,baseline,,"FL_miroc6_ssp585cal_02691,FL_miroc6_ssp585cal_01016","{""FL_miroc6_ssp585cal_02691"": 0.9023900330290558, ""FL_miroc6_ssp585cal_01016"": 0.9174120592002382}",45344511.657944545,41599601.81354411,3744909.844400435,6838706.5411445135,23585327.754136655,0.0,10257676.052150235,917891.4661126961,6838706.5411445135,23585327.754136655,483950.3912341537,3260959.4531662813,22.62164852392461,2.024261443229983,15.081663229129393,52.01363272373981,1.0672744584500637,7.191519621526121,10257676.052150235,917891.4661126961,483950.3912341537,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,917891.4661126961,0.0,539937478.65,359958319.1,0.0,483950.3912341537,483950.3912341537,1395853723.0,483950.3912341537,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,16
year_17,baseline,,"FL_miroc6_ssp585cal_02642,FL_miroc6_ssp585cal_00898","{""FL_miroc6_ssp585cal_02642"": 0.7863160095740956, ""FL_miroc6_ssp585cal_00898"": 0.9202343931942999}",13662365.68573316,10742936.867347753,2919428.818385408,3842166.670304505,1500001.4774571839,0.0,4825582.092622231,575186.6269638316,3842166.670304505,1500001.4774571839,290741.9347330496,2628686.8836523583,35.32025275579701,4.210007550628415,28.122264904069024,10.979075746915127,2.1280497200909725,19.240349322499455,4825582.092622231,575186.6269638316,290741.9347330496,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,575186.6269638316,0.0,539937478.65,359958319.1,0.0,290741.9347330496,290741.9347330496,1395853723.0,290741.9347330496,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,9464500000.0,9464500000.0,17
year_18,baseline,,"FL_miroc6_ssp585cal_02350,FL_miroc6_ssp585cal_01445","{""FL_miroc6_ssp585cal_02350"": 0.924246434859989, ""FL_miroc6_ssp585cal_01445"": 0.77575857358514}",5339238785.43718,4915117636.946113,424121148.49106723,1279768992.746251,2015814955.7768555,0.0,1373662502.6415834,245871185.7814232,1279768992.746251,2015814955.7768555,47696046.67975337,376425101.81131387,25.727684373065685,4.604985760367921,23.969128262943254,37.75472566005117,0.8933117359321849,7.0501642076397975,1373662502.6415834,245871185.7814232,47696046.67975337,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,80372859.90146308,0.0,539937478.65,359958319.1,0.0,47696046.67975337,47696046.67975337,1395853723.0,47696046.67975337,0.0,False,184422.64168523884,184422.64168523884,0.0,1.0,184422.64168523884,0.0,1090000000.0,0.0,7,9464500000.0,9464500000.0,18
year_19,baseline,,"FL_miroc6_ssp585cal_03401,FL_miroc6_ssp585cal_01895","{""FL_miroc6_ssp585cal_03401"": 0.8193732063874546, ""FL_miroc6_ssp585cal_01895"": 0.7841669222251626}",1401114007.0304086,1148000530.9024382,253113476.12797052,120334851.86260793,304141575.9292199,0.0,640065844.9404382,83458258.17017214,120334851.86260793,304141575.9292199,31805368.255169813,221308107.8728007,45.68263836695387,5.9565644017118755,8.588512516383421,21.707125501787882,2.2700057308383994,15.795153482324556,640065844.9404382,83458258.17017214,31805368.255169813,0,0,0,,,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,539937478.65,359958319.1,0.0,31805368.255169813,31805368.255169813,1395853723.0,31805368.255169813,0.0,False,124949.62022400001,124949.62022400001,0.0,1.0,124949.62022400001,0.0,1063524103.1106102,0.0,7,9464500000.0,9464500000.0,19
